furnishingstatus,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,price
0,7420,4,2,3,1,0,0,0,1,2,1,13300000
0,8960,4,4,4,1,0,0,0,1,3,0,12250000
1,9960,3,2,2,1,0,1,0,0,2,1,12250000
0,7500,4,2,2,1,0,1,0,1,3,1,12215000
0,7420,4,1,2,1,1,1,0,1,2,0,11410000
1,7500,3,3,1,1,0,1,0,1,2,1,10850000
1,8580,4,3,4,1,0,0,0,1,2,1,10150000
2,16200,5,3,2,1,0,0,0,0,0,0,10150000
0,8100,4,1,2,1,1,1,0,1,2,1,9870000
2,5750,3,2,4,1,1,0,0,1,1,1,9800000
0,13200,3,1,2,1,0,1,0,1,2,1,9800000
1,6000,4,3,2,1,1,1,1,0,2,0,9681000
1,6550,4,2,2,1,0,0,0,1,1,1,9310000
0,3500,4,2,2,1,0,0,1,0,2,0,9240000
1,7800,3,2,2,1,0,0,0,0,0,1,9240000
1,6000,4,1,2,1,0,1,0,0,2,0,9100000
2,6600,4,2,2,1,1,1,0,1,1,1,9100000
0,8500,3,2,4,1,0,0,0,1,2,0,8960000
0,4600,3,2,2,1,1,0,0,1,2,0,8890000
1,6420,3,2,2,1,0,0,0,1,1,1,8855000
1,4320,3,1,2,1,0,1,1,0,2,0,8750000
2,7155,3,2,1,1,1,1,0,1,2,0,8680000
0,8050,3,1,1,1,1,1,0,1,1,0,8645000
0,4560,3,2,2,1,1,1,0,1,1,0,8645000
0,8800,3,2,2,1,0,0,0,1,2,0,8575000
0,6540,4,2,2,1,1,1,0,1,2,1,8540000
1,6000,3,2,4,1,1,1,0,1,0,1,8463000
1,8875,3,1,1,1,0,0,0,0,1,0,8400000
2,7950,5,2,2,1,0,1,1,0,2,0,8400000
1,5500,4,2,2,1,0,1,0,1,1,1,8400000
2,7475,3,2,4,1,0,0,0,1,2,0,8400000
1,7000,3,1,4,1,0,0,0,1,2,0,8400000
0,4880,4,2,2,1,0,0,0,1,1,1,8295000
2,5960,3,3,2,1,1,1,0,0,1,0,8190000
0,6840,5,1,2,1,1,1,0,1,1,0,8120000
0,7000,3,2,4,1,0,0,0,1,2,0,8080940
0,7482,3,2,3,1,0,0,1,0,1,1,8043000
0,9000,4,2,4,1,0,0,0,1,2,0,7980000
2,6000,3,1,4,1,1,0,0,1,2,0,7962500
1,6000,4,2,4,1,0,0,0,1,1,0,7910000
0,6550,3,1,2,1,0,1,0,1,0,1,7875000
0,6360,3,2,4,1,0,0,0,1,0,1,7840000
2,6480,3,2,4,1,0,0,0,1,2,0,7700000
1,6000,4,2,4,1,0,0,0,0,2,0,7700000
0,6000,4,2,4,1,0,0,0,1,1,0,7560000
1,6000,3,2,3,1,0,0,0,1,0,0,7560000
0,6000,3,2,4,1,0,0,0,1,1,0,7525000
0,6600,3,1,4,1,0,0,0,1,3,1,7490000
2,4300,3,2,2,1,0,1,0,0,1,0,7455000
1,7440,3,2,1,1,1,1,0,1,0,1,7420000
2,7440,3,2,4,1,0,0,0,0,1,1,7420000
2,6325,3,1,4,1,0,0,0,1,1,0,7420000
0,6000,4,2,4,1,1,0,0,1,1,0,7350000
1,5150,3,2,4,1,0,0,0,1,2,0,7350000
1,6000,3,2,2,1,1,0,0,1,1,0,7350000
2,6000,3,1,2,1,0,0,0,1,1,0,7350000
1,11440,4,1,2,1,0,1,0,0,1,1,7343000
0,9000,4,2,4,1,1,0,0,1,1,1,7245000
1,7680,4,2,4,1,1,0,0,1,1,0,7210000
0,6000,3,2,4,1,1,0,0,1,1,0,7210000
1,6000,3,2,2,1,1,0,0,0,1,0,7140000
1,8880,2,1,1,1,0,0,0,1,1,0,7070000
0,6240,4,2,2,1,0,0,0,1,1,0,7070000
0,6360,4,2,3,1,0,0,0,1,2,1,7035000
0,11175,3,1,1,1,0,1,0,1,1,1,7000000
0,8880,3,2,2,1,0,1,0,1,1,0,6930000
0,13200,2,1,1,1,0,1,1,0,1,0,6930000
2,7700,3,2,1,1,0,0,0,0,2,0,6895000
0,6000,3,1,1,1,0,0,0,1,1,0,6860000
0,12090,4,2,2,1,0,0,0,0,2,1,6790000
1,4000,3,2,2,1,0,1,0,1,0,1,6790000
2,6000,4,2,4,1,0,0,0,1,0,0,6755000
2,5020,3,1,4,1,0,0,0,1,0,1,6720000
0,6600,2,2,4,1,0,1,0,0,0,1,6685000
0,4040,3,1,2,1,0,1,1,0,1,0,6650000
1,4260,4,2,2,1,0,0,1,0,0,0,6650000
0,6420,3,2,3,1,0,0,0,1,0,1,6650000
0,6500,3,2,3,1,0,0,0,1,0,1,6650000
0,5700,3,1,1,1,1,1,0,1,2,1,6650000
0,6000,3,2,3,1,1,0,0,1,0,0,6650000
1,6000,3,1,2,1,0,0,1,0,1,1,6629000
1,4000,3,2,2,1,0,1,0,1,1,0,6615000
0,10500,3,2,1,1,0,1,0,1,1,1,6615000
1,6000,3,2,4,1,0,0,0,1,0,0,6580000
1,3760,3,1,2,1,0,0,1,0,2,0,6510000
0,8250,3,2,3,1,0,0,0,1,0,0,6510000
2,6670,3,1,3,1,0,1,0,0,0,1,6510000
1,3960,3,1,1,1,0,1,0,0,2,0,6475000
2,7410,3,1,1,1,1,1,0,1,2,1,6475000
0,8580,5,3,2,1,0,0,0,0,2,0,6440000
1,5000,3,1,2,1,0,0,0,1,0,0,6440000
0,6750,2,1,1,1,1,1,0,0,2,1,6419000
0,4800,3,2,4,1,1,0,0,1,0,0,6405000
1,7200,3,2,1,1,0,1,0,1,3,0,6300000
1,6000,4,2,4,1,0,0,0,0,1,0,6300000
1,4100,3,2,3,1,0,0,0,1,2,0,6300000
0,9000,3,1,1,1,0,1,0,0,1,1,6300000
1,6400,3,1,1,1,1,1,0,1,1,1,6300000
2,6600,3,2,3,1,0,0,0,1,0,1,6293000
2,6000,4,1,3,1,1,1,0,0,0,1,6265000
2,6600,3,2,1,1,0,1,0,1,0,1,6230000
2,5500,3,1,3,1,0,0,0,0,1,1,6230000
1,5500,3,2,4,1,1,0,0,1,1,0,6195000
0,6350,3,2,3,1,1,0,0,1,0,0,6195000
0,5500,3,2,1,1,1,1,0,0,2,1,6195000
2,4500,3,1,4,1,0,0,0,1,0,0,6160000
1,5450,4,2,1,1,0,1,0,1,0,1,6160000
2,6420,3,1,3,1,0,1,0,0,0,1,6125000
1,3240,4,1,3,1,0,0,0,0,1,0,6107500
1,6615,4,2,2,1,1,0,1,0,1,0,6090000
1,6600,3,1,1,1,1,1,0,0,2,1,6090000
2,8372,3,1,3,1,0,0,0,1,2,0,6090000
0,4300,6,2,2,1,0,0,0,0,0,0,6083000
0,9620,3,1,1,1,0,1,0,0,2,1,6083000
0,6800,2,1,1,1,1,1,0,0,2,0,6020000
1,8000,3,1,1,1,1,1,0,1,2,1,6020000
2,6900,3,2,1,1,1,1,0,0,0,1,6020000
0,3700,4,1,2,1,1,0,0,1,0,0,5950000
0,6420,3,1,1,1,0,1,0,1,0,1,5950000
1,7020,3,1,1,1,0,1,0,1,2,1,5950000
0,6540,3,1,1,1,1,1,0,0,2,1,5950000
1,7231,3,1,2,1,1,1,0,1,0,1,5950000
1,6254,4,2,1,1,0,1,0,0,1,1,5950000
0,7320,4,2,2,1,0,0,0,0,0,0,5950000
0,6525,3,2,4,1,0,0,0,0,1,0,5950000
1,15600,3,1,1,1,0,0,0,1,2,0,5943000
2,7160,3,1,1,1,0,1,0,0,2,1,5880000
2,6500,3,2,3,1,0,0,0,1,0,0,5880000
0,5500,3,1,3,1,1,0,0,1,1,0,5873000
1,11460,3,1,3,1,0,0,0,0,2,1,5873000
2,4800,3,1,1,1,1,1,0,0,0,0,5866000
1,5828,4,1,4,1,1,0,0,0,0,0,5810000
1,5200,3,1,3,1,0,0,0,1,0,0,5810000
2,4800,3,1,3,1,0,0,0,1,0,0,5810000
1,7000,3,1,1,1,0,1,0,0,2,1,5803000
2,6000,3,2,4,1,0,0,0,1,0,0,5775000
2,5400,4,2,2,1,0,0,0,1,2,0,5740000
1,4640,4,1,2,1,0,0,0,0,1,0,5740000
1,5000,3,1,3,1,0,0,0,1,0,0,5740000
0,6360,3,1,1,1,1,1,0,1,2,1,5740000
2,5800,3,2,4,1,0,0,0,1,0,0,5740000
1,6660,4,2,2,1,1,1,0,0,1,1,5652500
1,10500,4,2,2,1,0,0,0,0,1,0,5600000
2,4800,5,2,3,0,0,1,1,0,0,0,5600000
0,4700,4,1,2,1,1,1,0,1,1,0,5600000
0,5000,3,1,4,1,0,0,0,0,0,0,5600000
1,10500,2,1,1,1,0,0,0,0,1,0,5600000
1,5500,3,2,2,1,0,0,0,0,1,0,5600000
1,6360,3,1,3,1,0,0,0,0,0,1,5600000
1,6600,4,2,1,1,0,1,0,0,0,1,5600000
2,5136,3,1,2,1,1,1,0,1,0,1,5600000
1,4400,4,1,2,1,0,0,0,1,2,1,5565000
0,5400,5,1,2,1,1,1,0,1,0,1,5565000
1,3300,3,3,2,1,0,1,0,0,0,0,5530000
1,3650,3,2,2,1,0,0,0,0,2,0,5530000
0,6100,3,2,1,1,0,1,0,0,2,1,5530000
1,6900,3,1,1,1,1,1,0,0,0,1,5523000
0,2817,4,2,2,0,1,1,0,0,1,0,5495000
1,7980,3,1,1,1,0,0,0,0,2,0,5495000
0,3150,3,2,1,1,1,1,0,1,0,0,5460000
0,6210,4,1,4,1,1,0,0,1,0,0,5460000
1,6100,3,1,3,1,1,0,0,1,0,1,5460000
1,6600,4,2,2,1,1,1,0,0,0,1,5460000
1,6825,3,1,1,1,1,1,0,1,0,1,5425000
0,6710,3,2,2,1,1,1,0,0,1,1,5390000
2,6450,3,2,1,1,1,1,1,0,0,0,5383000
2,7800,3,1,1,1,0,1,0,1,2,1,5320000
1,4600,2,2,1,1,0,0,0,1,2,0,5285000
0,4260,4,1,2,1,0,1,0,1,0,0,5250000
1,6540,4,2,2,0,0,0,0,1,0,0,5250000
1,5500,3,2,1,1,0,1,0,0,0,0,5250000
1,10269,3,1,1,1,0,0,0,0,1,1,5250000
2,8400,3,1,2,1,1,1,0,1,2,1,5250000
2,5300,4,2,1,1,0,0,0,1,0,1,5250000
2,3800,3,1,2,1,1,1,0,0,1,1,5250000
1,9800,4,2,2,1,1,0,0,0,2,0,5250000
0,8520,3,1,1,1,0,0,0,1,2,0,5250000
1,6050,3,1,1,1,0,1,0,0,0,1,5243000
1,7085,3,1,1,1,1,1,0,0,2,1,5229000
1,3180,3,2,2,1,0,0,0,0,2,0,5215000
1,4500,4,2,1,0,0,1,0,1,2,0,5215000
0,7200,3,1,2,1,1,1,0,0,1,1,5215000
1,3410,3,1,2,0,0,0,0,1,0,0,5145000
1,7980,3,1,1,1,0,0,0,0,1,1,5145000
0,3000,3,2,2,1,1,1,0,0,0,0,5110000
2,3000,3,1,2,1,0,1,0,0,0,0,5110000
0,11410,2,1,2,1,0,0,0,0,0,1,5110000
1,6100,3,1,1,1,0,1,0,1,0,1,5110000
2,5720,2,1,2,1,0,0,0,1,0,1,5075000
1,3540,2,1,1,0,1,1,0,0,0,0,5040000
0,7600,4,1,2,1,0,0,0,1,2,0,5040000
1,10700,3,1,2,1,1,1,0,0,0,0,5040000
0,6600,3,1,1,1,1,1,0,0,0,1,5040000
1,4800,2,1,1,1,1,1,0,0,0,0,5033000
1,8150,3,2,1,1,1,1,0,0,0,0,5005000
1,4410,4,3,2,1,0,1,0,0,2,0,4970000
1,7686,3,1,1,1,1,1,1,0,0,0,4970000
1,2800,3,2,2,0,0,1,0,1,1,0,4956000
1,5948,3,1,2,1,0,0,0,1,0,0,4935000
0,4200,3,1,2,1,0,0,0,0,1,0,4907000
1,4520,3,1,2,1,0,1,0,1,0,0,4900000
1,4095,3,1,2,0,1,1,0,1,0,0,4900000
1,4120,2,1,1,1,0,1,0,0,1,0,4900000
1,5400,4,1,2,1,0,0,0,0,0,0,4900000
1,4770,3,1,1,1,1,1,0,0,0,0,4900000
1,6300,3,1,1,1,0,0,0,1,2,0,4900000
1,5800,2,1,1,1,1,1,0,1,0,0,4900000
1,3000,3,1,2,1,0,1,0,1,0,0,4900000
1,2970,3,1,3,1,0,0,0,0,0,0,4900000
2,6720,3,1,1,1,0,0,0,0,0,0,4900000
1,4646,3,1,2,1,1,1,0,0,2,0,4900000
0,12900,3,1,1,1,0,0,0,0,2,0,4900000
1,3420,4,2,2,1,0,1,0,1,2,0,4893000
1,4995,4,2,1,1,0,1,0,0,0,0,4893000
2,4350,2,1,1,1,0,1,0,0,0,0,4865000
2,4160,3,1,3,1,0,0,0,0,0,0,4830000
1,6040,3,1,1,1,0,0,0,0,2,1,4830000
0,6862,3,1,2,1,0,0,0,1,2,1,4830000
1,4815,2,1,1,1,0,0,0,1,0,1,4830000
2,7000,3,1,2,1,0,1,0,0,0,0,4795000
1,8100,4,1,4,1,0,1,0,1,2,0,4795000
1,3420,4,2,2,1,0,0,0,0,0,0,4767000
1,9166,2,1,1,1,0,1,0,1,2,0,4760000
0,6321,3,1,2,1,0,1,0,1,1,0,4760000
2,10240,2,1,1,1,0,0,0,1,2,1,4760000
1,6440,2,1,1,1,0,0,0,1,3,0,4753000
1,5170,3,1,4,1,0,0,0,1,0,0,4690000
0,6000,2,1,1,1,0,1,0,1,1,0,4690000
1,3630,3,1,2,1,0,0,0,0,2,0,4690000
1,9667,4,2,2,1,1,1,0,0,1,0,4690000
1,5400,2,1,2,1,0,0,0,0,0,1,4690000
1,4320,3,1,1,1,0,0,0,0,0,1,4690000
0,3745,3,1,2,1,0,1,0,0,0,0,4655000
2,4160,3,1,1,1,1,1,0,1,0,0,4620000
1,3880,3,2,2,1,0,1,0,0,2,0,4620000
1,5680,3,1,2,1,1,0,0,1,1,0,4620000
1,2870,2,1,2,1,1,1,0,0,0,1,4620000
1,5010,3,1,2,1,0,1,0,0,0,0,4620000
1,4510,4,2,2,1,0,1,0,0,0,0,4613000
0,4000,3,1,2,1,0,0,0,0,1,0,4585000
1,3840,3,1,2,1,0,0,0,0,1,1,4585000
1,3760,3,1,1,1,0,0,0,0,2,0,4550000
0,3640,3,1,2,1,0,0,0,1,0,0,4550000
0,2550,3,1,2,1,0,1,0,0,0,0,4550000
1,5320,3,1,2,1,1,1,0,0,0,1,4550000
2,5360,3,1,2,1,0,0,0,0,2,1,4550000
1,3520,3,1,1,1,0,0,0,0,0,1,4550000
2,8400,4,1,4,1,0,0,0,0,3,0,4550000
1,4100,2,2,1,1,1,1,0,0,0,0,4543000
0,4990,4,2,2,1,1,1,0,0,0,1,4543000
1,3510,3,1,3,1,0,0,0,0,0,0,4515000
1,3450,3,1,2,1,0,1,0,0,1,0,4515000
1,9860,3,1,1,1,0,0,0,0,0,0,4515000
0,3520,2,1,2,1,0,0,0,0,0,1,4515000
1,4510,4,1,2,1,0,0,0,1,2,0,4480000
2,5885,2,1,1,1,0,0,0,1,1,0,4480000
0,4000,3,1,2,1,0,0,0,0,2,0,4480000
0,8250,3,1,1,1,0,0,0,0,0,0,4480000
1,4040,3,1,2,1,0,0,0,0,1,0,4480000
0,6360,2,1,1,1,0,1,0,1,1,0,4473000
0,3162,3,1,2,1,0,0,0,1,1,0,4473000
1,3510,3,1,2,1,0,0,0,0,0,0,4473000
1,3750,2,1,1,1,1,1,0,0,0,0,4445000
1,3968,3,1,2,0,0,0,0,0,0,0,4410000
1,4900,2,1,2,1,0,1,0,0,0,0,4410000
1,2880,3,1,2,1,0,0,0,0,0,1,4403000
2,4880,3,1,1,1,0,0,0,0,2,1,4403000
1,4920,3,1,2,1,0,0,0,0,1,0,4403000
1,4950,4,1,2,1,0,0,0,1,0,0,4382000
2,3900,3,1,2,1,0,0,0,0,0,0,4375000
